Date,Price,Open,High,Low,Vol.,Change %,Stock symbol,Bank
2009-12-11,13991.7,13991.7,13991.7,13991.7,85270.0,-4.69,AGR,Agribank
2009-12-14,13303.6,13303.6,14278.5,13303.6,505370.0,-4.92,AGR,Agribank
2009-12-15,12672.8,12844.9,13303.6,12672.8,196630.0,-4.74,AGR,Agribank
2009-12-16,12042.1,12042.1,12042.1,12042.1,94660.0,-4.98,AGR,Agribank
2009-12-17,12328.8,11468.6,12500.8,11468.6,491680.0,2.38,AGR,Agribank
2009-12-18,12902.2,12902.2,12902.2,12902.2,180520.0,4.65,AGR,Agribank
2009-12-21,13533.0,13533.0,13533.0,13533.0,15060.0,4.89,AGR,Agribank
2009-12-22,14163.8,14163.8,14163.8,12959.6,1330000.0,4.66,AGR,Agribank
2009-12-23,13819.7,13819.7,14335.8,13762.4,312770.0,-2.43,AGR,Agribank
2009-12-24,14393.1,13762.4,14507.8,13647.7,529220.0,4.15,AGR,Agribank
2009-12-25,15081.3,14909.2,15081.3,14393.1,577380.0,4.78,AGR,Agribank
2009-12-28,14393.1,14335.8,15195.9,14335.8,238510.0,-4.56,AGR,Agribank
2009-12-29,13705.0,13762.4,14335.8,13705.0,228780.0,-4.78,AGR,Agribank
2009-12-30,13762.4,14335.8,14335.8,13705.0,203160.0,0.42,AGR,Agribank
2009-12-31,13762.4,14221.1,14335.8,13647.7,303540.0,0.0,AGR,Agribank
2010-01-04,14450.5,14049.1,14450.5,14049.1,441720.0,5.0,AGR,Agribank
2010-01-05,14565.2,15081.3,15138.6,14450.5,771640.0,0.79,AGR,Agribank
2010-01-06,15253.3,14393.1,15253.3,14221.1,650170.0,4.72,AGR,Agribank
2010-01-07,15998.8,15998.8,15998.8,15253.3,850630.0,4.89,AGR,Agribank
2010-01-08,15253.3,16744.2,16744.2,15253.3,679560.0,-4.66,AGR,Agribank
2010-01-11,15482.7,15769.4,15826.7,14909.2,415440.0,1.5,AGR,Agribank
2010-01-12,14737.2,15368.0,15884.1,14737.2,308410.0,-4.82,AGR,Agribank
2010-01-13,15138.6,14737.2,15138.6,14049.1,315970.0,2.72,AGR,Agribank
2010-01-14,15253.3,15712.0,15712.0,15195.9,402450.0,0.76,AGR,Agribank
2010-01-15,14909.2,15195.9,15253.3,14794.5,293230.0,-2.26,AGR,Agribank
2010-01-18,14163.8,14335.8,14507.8,14163.8,447930.0,-5.0,AGR,Agribank
2010-01-19,13475.7,13475.7,13762.4,13475.7,1420000.0,-4.86,AGR,Agribank
2010-01-20,13074.2,12959.6,13475.7,12959.6,477620.0,-2.98,AGR,Agribank
2010-01-21,13188.9,13074.2,13418.3,12902.2,293640.0,0.88,AGR,Agribank
2010-01-22,13188.9,12730.2,13246.3,12730.2,147080.0,0.0,AGR,Agribank
