Date,Price,Open,High,Low,Vol.,Change %,Stock symbol,Bank
2017-08-18,8040.1,8213.0,8321.1,8040.1,5060000.0,-4.61,VPB,VPBank
2017-08-21,7748.3,7737.5,7953.6,7672.7,3700000.0,-3.63,VPB,VPBank
2017-08-22,7780.7,7521.4,7780.7,7521.4,10620000.0,0.42,VPB,VPBank
2017-08-23,7823.9,7780.7,7953.6,7726.7,2410000.0,0.56,VPB,VPBank
2017-08-24,7834.8,7856.4,7856.4,7737.5,3140000.0,0.14,VPB,VPBank
2017-08-25,7845.6,7759.1,7845.6,7737.5,2850000.0,0.14,VPB,VPBank
2017-08-28,7845.6,7780.7,7845.6,7759.1,3520000.0,0.0,VPB,VPBank
2017-08-29,7845.6,7802.3,7845.6,7769.9,4580000.0,0.0,VPB,VPBank
2017-08-30,7845.6,7845.6,7845.6,7780.7,3840000.0,0.0,VPB,VPBank
2017-08-31,7845.6,7802.3,7845.6,7802.3,5540000.0,0.0,VPB,VPBank
2017-09-01,7845.6,7802.3,7845.6,7802.3,4530000.0,0.0,VPB,VPBank
2017-09-05,7867.2,7791.5,7867.2,7791.5,5900000.0,0.28,VPB,VPBank
2017-09-06,8245.4,7867.2,8256.2,7845.6,5870000.0,4.81,VPB,VPBank
2017-09-07,8331.9,8256.2,8494.0,8256.2,4170000.0,1.05,VPB,VPBank
2017-09-08,8256.2,8321.1,8321.1,8245.4,1570000.0,-0.91,VPB,VPBank
2017-09-11,7996.9,8213.0,8234.6,7975.2,3030000.0,-3.14,VPB,VPBank
2017-09-12,8072.5,7996.9,8104.9,7867.2,1530000.0,0.95,VPB,VPBank
2017-09-13,8104.9,8072.5,8126.5,8018.5,1450000.0,0.4,VPB,VPBank
2017-09-14,8094.1,8104.9,8126.5,8061.7,1240000.0,-0.13,VPB,VPBank
2017-09-15,8083.3,8094.1,8126.5,8072.5,1630000.0,-0.13,VPB,VPBank
2017-09-18,8061.7,8083.3,8104.9,8050.9,1500000.0,-0.27,VPB,VPBank
2017-09-19,7986.0,8061.7,8061.7,7975.2,3790000.0,-0.94,VPB,VPBank
2017-09-20,7975.2,7986.0,8061.7,7964.4,3650000.0,-0.14,VPB,VPBank
2017-09-21,7975.2,7975.2,7986.0,7942.8,2480000.0,0.0,VPB,VPBank
2017-09-22,7932.0,7975.2,7975.2,7888.8,5960000.0,-0.54,VPB,VPBank
2017-09-25,7921.2,7932.0,7964.4,7921.2,2330000.0,-0.14,VPB,VPBank
2017-09-26,7910.4,7975.2,7975.2,7910.4,3320000.0,-0.14,VPB,VPBank
2017-09-27,8050.9,7910.4,8094.1,7910.4,6820000.0,1.78,VPB,VPBank
2017-09-28,8050.9,8061.7,8169.8,8040.1,5730000.0,0.0,VPB,VPBank
2017-09-29,8104.9,8050.9,8159.0,8050.9,3480000.0,0.67,VPB,VPBank
2017-10-02,8050.9,8104.9,8126.5,7996.9,2940000.0,-0.67,VPB,VPBank
